PATH MAP FOR: df.global.world.raws.mat_table.builtin.COAL
MAX DEPTH: 100
==================================================
df.global.world.raws.mat_table.builtin.COAL.id = "COAL"
df.global.world.raws.mat_table.builtin.COAL.gem_name1 = ""
df.global.world.raws.mat_table.builtin.COAL.gem_name2 = ""
df.global.world.raws.mat_table.builtin.COAL.stone_name = ""
df.global.world.raws.mat_table.builtin.COAL.heat = [<material.T_heat: 0x2266198a1d0>]
    df.global.world.raws.mat_table.builtin.COAL.heat.spec_heat = 409
    df.global.world.raws.mat_table.builtin.COAL.heat.heatdam_point = 60001
    df.global.world.raws.mat_table.builtin.COAL.heat.colddam_point = 60001
    df.global.world.raws.mat_table.builtin.COAL.heat.ignite_point = 11440
    df.global.world.raws.mat_table.builtin.COAL.heat.melting_point = 60001
    df.global.world.raws.mat_table.builtin.COAL.heat.boiling_point = 60001
    df.global.world.raws.mat_table.builtin.COAL.heat.mat_fixed_temp = 60001
df.global.world.raws.mat_table.builtin.COAL.solid_density = 1346
df.global.world.raws.mat_table.builtin.COAL.liquid_density = -71534568
df.global.world.raws.mat_table.builtin.COAL.molar_mass = -71534568
df.global.world.raws.mat_table.builtin.COAL.state_color = [<int32_t[]: 0x2266198a1ec>]
    df.global.world.raws.mat_table.builtin.COAL.state_color.Solid = 8
    df.global.world.raws.mat_table.builtin.COAL.state_color.Liquid = 8
    df.global.world.raws.mat_table.builtin.COAL.state_color.Gas = 8
    df.global.world.raws.mat_table.builtin.COAL.state_color.Powder = 8
    df.global.world.raws.mat_table.builtin.COAL.state_color.Paste = 8
    df.global.world.raws.mat_table.builtin.COAL.state_color.Pressed = 8
df.global.world.raws.mat_table.builtin.COAL.state_name = [<string[]: 0x2266198a208>]
    df.global.world.raws.mat_table.builtin.COAL.state_name.Solid = "coal"
    df.global.world.raws.mat_table.builtin.COAL.state_name.Liquid = ""
    df.global.world.raws.mat_table.builtin.COAL.state_name.Gas = ""
    df.global.world.raws.mat_table.builtin.COAL.state_name.Powder = "coal powder"
    df.global.world.raws.mat_table.builtin.COAL.state_name.Paste = "coal slush"
    df.global.world.raws.mat_table.builtin.COAL.state_name.Pressed = "pressed coal"
df.global.world.raws.mat_table.builtin.COAL.state_adj = [<string[]: 0x2266198a2c8>]
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Solid = "coal"
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Liquid = ""
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Gas = ""
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Powder = "coal powder"
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Paste = "coal slush"
    df.global.world.raws.mat_table.builtin.COAL.state_adj.Pressed = "pressed coal"
df.global.world.raws.mat_table.builtin.COAL.strength = [<material.T_strength: 0x2266198a388>]
    df.global.world.raws.mat_table.builtin.COAL.strength.absorption = 0
    df.global.world.raws.mat_table.builtin.COAL.strength.yield = [<int32_t[]: 0x2266198a38c>]
