PATH MAP FOR: df.global.world.raws.mat_table.builtin.LYE
MAX DEPTH: 100
==================================================
df.global.world.raws.mat_table.builtin.LYE.id = "LYE"
df.global.world.raws.mat_table.builtin.LYE.gem_name1 = ""
df.global.world.raws.mat_table.builtin.LYE.gem_name2 = ""
df.global.world.raws.mat_table.builtin.LYE.stone_name = ""
df.global.world.raws.mat_table.builtin.LYE.heat = [<material.T_heat: 0x2266198aff0>]
    df.global.world.raws.mat_table.builtin.LYE.heat.spec_heat = 4181
    df.global.world.raws.mat_table.builtin.LYE.heat.heatdam_point = 60001
    df.global.world.raws.mat_table.builtin.LYE.heat.colddam_point = 60001
    df.global.world.raws.mat_table.builtin.LYE.heat.ignite_point = 60001
    df.global.world.raws.mat_table.builtin.LYE.heat.melting_point = 10000
    df.global.world.raws.mat_table.builtin.LYE.heat.boiling_point = 10180
    df.global.world.raws.mat_table.builtin.LYE.heat.mat_fixed_temp = 60001
df.global.world.raws.mat_table.builtin.LYE.solid_density = 920
df.global.world.raws.mat_table.builtin.LYE.liquid_density = 1000
df.global.world.raws.mat_table.builtin.LYE.molar_mass = -71534568
df.global.world.raws.mat_table.builtin.LYE.state_color = [<int32_t[]: 0x2266198b00c>]
    df.global.world.raws.mat_table.builtin.LYE.state_color.Solid = 24
    df.global.world.raws.mat_table.builtin.LYE.state_color.Liquid = 24
    df.global.world.raws.mat_table.builtin.LYE.state_color.Gas = 24
    df.global.world.raws.mat_table.builtin.LYE.state_color.Powder = 24
    df.global.world.raws.mat_table.builtin.LYE.state_color.Paste = 24
    df.global.world.raws.mat_table.builtin.LYE.state_color.Pressed = 24
df.global.world.raws.mat_table.builtin.LYE.state_name = [<string[]: 0x2266198b028>]
    df.global.world.raws.mat_table.builtin.LYE.state_name.Solid = "frozen lye"
    df.global.world.raws.mat_table.builtin.LYE.state_name.Liquid = "lye"
    df.global.world.raws.mat_table.builtin.LYE.state_name.Gas = "boiling lye"
    df.global.world.raws.mat_table.builtin.LYE.state_name.Powder = "frozen lye powder"
    df.global.world.raws.mat_table.builtin.LYE.state_name.Paste = "lye slush"
    df.global.world.raws.mat_table.builtin.LYE.state_name.Pressed = "frozen lye"
df.global.world.raws.mat_table.builtin.LYE.state_adj = [<string[]: 0x2266198b0e8>]
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Solid = "frozen lye"
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Liquid = "lye"
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Gas = "boiling lye"
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Powder = "frozen lye powder"
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Paste = "lye slush"
    df.global.world.raws.mat_table.builtin.LYE.state_adj.Pressed = "frozen lye"
df.global.world.raws.mat_table.builtin.LYE.strength = [<material.T_strength: 0x2266198b1a8>]
    df.global.world.raws.mat_table.builtin.LYE.strength.absorption = 0
    df.global.world.raws.mat_table.builtin.LYE.strength.yield = [<int32_t[]: 0x2266198b1ac>]
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.BENDING = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.SHEAR = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.TORSION = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.IMPACT = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.TENSILE = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.yield.COMPRESSIVE = 10000
    df.global.world.raws.mat_table.builtin.LYE.strength.fracture = [<int32_t[]: 0x2266198b1c4>]
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.BENDING = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.SHEAR = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.TORSION = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.IMPACT = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.TENSILE = 10000
        df.global.world.raws.mat_table.builtin.LYE.strength.fracture.COMPRESSIVE = 10000
    df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield = [<int32_t[]: 0x2266198b1dc>]
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.BENDING = 0
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.SHEAR = 0
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.TORSION = 0
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.IMPACT = 0
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.TENSILE = 0
        df.global.world.raws.mat_table.builtin.LYE.strength.strain_at_yield.COMPRESSIVE = 0
    df.global.world.raws.mat_table.builtin.LYE.strength.max_edge = 0
df.global.world.raws.mat_table.builtin.LYE.material_value = 2
df.global.world.raws.mat_table.builtin.LYE.flags = [<BitArray<>: 0x2266198b200>]
    df.global.world.raws.mat_table.builtin.LYE.flags.BONE = false
    df.global.world.raws.mat_table.builtin.LYE.flags.MEAT = false
    df.global.world.raws.mat_table.builtin.LYE.flags.EDIBLE_VERMIN = false
    df.global.world.raws.mat_table.builtin.LYE.flags.EDIBLE_RAW = false
    df.global.world.raws.mat_table.builtin.LYE.flags.EDIBLE_COOKED = false
